country,count
Algeria,9325
Morocco,8289
Uganda,8003
Nigeria,7176
Tanzania,6791
Democratic Republic of the Congo,3943
South Africa,3041
Libya,2938
Kenya,2558
Ivory Coast,2447
Ghana,2155
Senegal,1879
Cameroon,1865
Egypt,1658
Madagascar,1569
Zambia,1566
Mali,1507
Tunisia,1412
Sudan,1395
Rwanda,1346
Zimbabwe,1215
Burkina Faso,1198
Liberia,1175
Ethiopia,1114
Mozambique,1113
Guinea,1057
Togo,963
Burundi,940
Benin,881
Angola,782
Niger,626
Sierra Leone,548
Namibia,545
South Sudan,497
Chad,435
Central African Republic,431
Mauritania,414
Congo,386
Gabon,379
Mauritius,341
Malawi,305
Botswana,235
Lesotho,182
Cabo Verde,134
Gambia,131
Somalia,98
Eswatini,71
Comoros,67
Guinea-Bissau,61
Djibouti,50
Seychelles,37
Eritrea,36
Sao Tome and Principe,28
Equatorial Guinea,21
