country,area_km2,overlap_ratio,total_cells,urban_cells,rural_cells,urban,rural,total,urban_population_mean,rural_population_mean,urban_share,rural_share,urban_density_stats,rural_density_stats
Nigeria,915140.372494316,99.99999999999997,915157,70452,541820,190963773.2935513,43380133.91768065,234343907.21123195,2710.551486026675,80.06373688250831,0.8148868710353163,0.1851131289646837,"{'min': 0.008299370296299458, 'max': 164956.09407401085, 'std': 4691.2852473665835}","{'min': 0.0018145361682400107, 'max': 4977.186322629452, 'std': 206.76058167240618}"
Sao Tome and Principe,1003.1855328323096,99.99999999999999,998,79,278,186416.41712672077,34750.86989834253,221167.2870250633,2359.7014826167187,125.00312913072851,0.8428751811998108,0.1571248188001893,"{'min': 4.653780460357666, 'max': 20178.80841445923, 'std': 3885.0923943798184}","{'min': 0.0398222953081131, 'max': 3350.0326448380947, 'std': 279.12418775636405}"
Mauritania,1044121.2267724469,99.99999999999991,1044115,839,56403,3129591.364253734,1938960.8228873163,5068552.18714105,3730.1446534609463,34.37690943544344,0.6174527258875874,0.38254727411241274,"{'min': 5.869485855102539, 'max': 57259.25677871704, 'std': 5913.499486591584}","{'min': 9.337772644357756e-05, 'max': 4123.799313344061, 'std': 127.36744682391672}"
Cabo Verde,4033.7844151317454,99.95568353960637,4031,183,2153,442974.64753961377,117696.02986613527,560670.677405749,2420.626489287507,54.66606124762437,0.7900799264004307,0.20992007359956943,"{'min': 0.07776457071304321, 'max': 23511.948513150215, 'std': 3578.9408886527667}","{'min': 0.00590792391449213, 'max': 2745.149631023407, 'std': 156.8293193725266}"
Djibouti,21816.684608878368,99.99999999999997,21820,150,6683,984738.1514835712,116325.16370489448,1101063.3151884656,6564.921009890474,17.406129538365178,0.8943519758580064,0.10564802414199356,"{'min': 30.269933611154556, 'max': 45374.59491926432, 'std': 9425.671841830934}","{'min': 0.0157125573605299, 'max': 2496.51429104805, 'std': 98.27208981964216}"
Rwanda,25400.73775072957,100.00000000000007,25392,14915,6304,13860507.779813804,857421.4737084848,14717929.253522288,929.2998846673687,136.01228961111752,0.9417430632435411,0.05825693675645893,"{'min': 0.8506819009780884, 'max': 29882.63431930542, 'std': 1234.6838724437762}","{'min': 0.013642914593219757, 'max': 2483.2737320177257, 'std': 130.24166380426504}"
South Sudan,635043.8810541513,100.0,635063,2870,64568,8102057.503764017,3416763.859578135,11518821.363342151,2823.0165518341523,52.91729431882875,0.7033755666658962,0.2966244333341038,"{'min': 17.140540599822998, 'max': 142477.79388189316, 'std': 7921.734663443958}","{'min': 0.00554570322856307, 'max': 4891.210710287094, 'std': 150.60808674701894}"
Chad,1277100.8914732612,99.99999999999997,1277109,3398,123054,10037209.928003944,9392581.253278999,19429791.181282945,2953.858130666258,76.32893894777088,0.5165886670811451,0.4834113329188548,"{'min': 0.17424950003623962, 'max': 61365.79705488682, 'std': 5101.039944926233}","{'min': 0.004935719538480043, 'max': 4626.856759011745, 'std': 180.3482375216141}"
Libya,1621153.7706058163,99.99999999999997,1621053,3214,46715,5213835.745002863,1791916.6930597194,7005752.438062582,1622.2264296835292,38.35848641891725,0.7442220933580023,0.2557779066419978,"{'min': 0.1649629883468151, 'max': 10394.275444030762, 'std': 1567.8941198015584}","{'min': 0.0024744446855038404, 'max': 2903.488942725584, 'std': 96.96824260614255}"
Comoros,1665.708411259583,100.0,1654,262,454,709188.9477329259,74962.20160555607,784151.149338482,2706.82804478216,165.1149815100354,0.9044033772458346,0.09559662275416539,"{'min': 3.707371473312378, 'max': 100117.21137556434, 'std': 7147.667470561691}","{'min': 0.01624058373272419, 'max': 3741.857400678098, 'std': 418.73027165304177}"
Tanzania,947843.7954588789,99.9999999999999,947831,29110,422753,41271681.23930242,29955801.401970975,71227482.6412734,1417.7836220990182,70.85887362590206,0.579434787091397,0.4205652129086031,"{'min': 0.21164369583129883, 'max': 83050.76763916016, 'std': 3267.140649256472}","{'min': 0.0011518830433487892, 'max': 4423.20508582145, 'std': 143.50573052419924}"
Democratic Republic of the Congo,2343156.5754015334,99.99999999999967,2343108,21776,398725,81219727.54500161,27714522.078466453,108934249.62346807,3729.781757209846,69.50786150471241,0.7455848626647553,0.2544151373352447,"{'min': 0.05362476035952568, 'max': 167542.9208984375, 'std': 8537.390166461728}","{'min': 0.00011163285671500489, 'max': 4924.596560575068, 'std': 201.99747567184406}"
Zambia,755983.6859753213,99.99999999999984,755992,4223,266523,11789858.059100136,9941689.965466557,21731548.024566695,2791.8205207435794,37.30143351780731,0.5425226976822888,0.45747730231771117,"{'min': 0.3765498697757721, 'max': 36144.52403259277, 'std': 4018.3944889520935}","{'min': 0.0030761894304305315, 'max': 3376.9565535783768, 'std': 88.40627560304846}"
Egypt,986523.7591316974,100.00000000000004,985789,29227,73001,111416595.45241144,3145450.971414362,114562046.4238258,3812.111932542219,43.08777922787855,0.9725436907806477,0.027456309219352364,"{'min': 0.021123021841049194, 'max': 268821.6750946045, 'std': 9215.86348876021}","{'min': 4.357277248345781e-06, 'max': 4475.802225545049, 'std': 108.15185295033004}"
South Africa,1225037.3896347054,99.99999999999979,1225044,21798,395839,48757101.78747286,12770377.550189497,61527479.337662354,2236.7695103896162,32.2615445931035,0.7924443242651669,0.2075556757348332,"{'min': 0.011731707258149981, 'max': 70677.14263296127, 'std': 3264.221039004181}","{'min': 1.5562649423372932e-05, 'max': 4403.310453703976, 'std': 99.28800947374295}"
Niger,1190192.760689254,100.00000000000007,1190181,6400,164318,15646942.16466333,13686238.06408749,29333180.228750817,2444.8347132286453,83.291167517177,0.5334212670648999,0.4665787329351002,"{'min': 31.44248903915286, 'max': 45395.93542608619, 'std': 4361.59696288368}","{'min': 0.011094730347394943, 'max': 4873.241405025125, 'std': 229.2213130313282}"
Somalia,637945.2338506079,99.99999999999997,637960,2192,104970,15907970.571259212,3210279.713523846,19118250.284783058,7257.28584455256,30.58283046131129,0.8320829748693567,0.16791702513064335,"{'min': 3.689503312110901, 'max': 126334.65249633789, 'std': 13773.997500732004}","{'min': 0.013291756622493267, 'max': 4841.878631472588, 'std': 152.5473195970791}"
Gabon,266577.34842695476,100.00000000000013,266591,606,8475,2033124.4259625848,414605.36910156003,2447729.795064145,3354.990801918457,48.92098750460885,0.8306163654429451,0.16938363455705494,"{'min': 6.318077513948083, 'max': 19543.862243890762, 'std': 3698.9551167243626}","{'min': 0.0004202246491331607, 'max': 4155.161171913147, 'std': 148.069089060154}"
Morocco,407413.12521699903,99.99999999999993,407414,8458,64593,30304619.85898093,8171238.976331856,38475858.83531278,3582.9534002105615,126.50347524239245,0.7876268594469329,0.21237314055306725,"{'min': 0.11585991829633713, 'max': 121376.04591560364, 'std': 7183.153966884473}","{'min': 0.0002663421328179538, 'max': 4863.264465361834, 'std': 278.62941326765645}"
